artifact_id,relative_path,artifact_kind,record_count,byte_count,sha256,cutoff_at,verification_status,required_approval,approval_status,known_gap_id
"CUT-POLICY-EVENTS","research-data/policy-events.csv","CSV","105","53559","sha256:40ec302838caeb35ccd38d7e4feb2decf90f6106cefca789600a3898f065f8a4","2026-07-10T23:59:59+09:00","PARTIAL","POLICY","PENDING","GAP-NATIONWIDE-POLICY-REVERSE-ENUMERATION"
"CUT-POLICY-RELATIONS","research-data/policy-event-relations.csv","CSV","42","8691","sha256:acfd04a7a613f3303cbef0548017400ccd9f40cf795e24efc83c3cd634c0133b","2026-07-10T23:59:59+09:00","PARTIAL","POLICY","PENDING","GAP-NATIONWIDE-POLICY-REVERSE-ENUMERATION"
"CUT-DESIGNATIONS","research-data/designations.csv","CSV","45","30513","sha256:024f065d9d0f080a6dd4be12f2a155c4174a67fac693c5a9da0889bded43f71c","2026-07-10T23:59:59+09:00","PARTIAL","POLICY;SPATIAL","PENDING","GAP-NATIONWIDE-PARCEL-BOUNDARY-NORMALIZATION"
"CUT-DESIGNATION-EVIDENCE","research-data/designation-evidence.csv","CSV","7","2379","sha256:357318565e64b48e03459b76e7ec5d7e4680a2bd7046c5fb452e1fd32e4e577b","2026-07-10T23:59:59+09:00","VERIFIED","POLICY;SPATIAL;RIGHTS","PENDING","GAP-SPECULATION-AREA-NATIONAL-COMPLETENESS"
"CUT-SOURCE-RIGHTS","research-data/source-rights.csv","CSV","21","14040","sha256:7345d9a2a582111b809eddd3eaa10eb025c729fb72336bcf216aa940975e9cd9","2026-07-10T23:59:59+09:00","PARTIAL","RIGHTS","PENDING","GAP-ROBOTS-TERMS-EVIDENCE"
"CUT-TAX-INDEX","research-data/tax-rule-cards/README.md","MARKDOWN","4","3227","sha256:0669d16c45024997009548c205eb53953cc23a5d1dd7cf089a06a0a40ddf5833","2026-07-10T23:59:59+09:00","PARTIAL","TAX","PENDING","GAP-TAX-STATUTE-TRANSITION-REVIEW"
"CUT-TAX-ACQUISITION","research-data/tax-rule-cards/acquisition-tax.md","MARKDOWN","1","5810","sha256:105e9a35103b914aef07c5159168101217b32272d443171bf4c931067d2a01c1","2026-07-10T23:59:59+09:00","PARTIAL","TAX","PENDING","GAP-TAX-STATUTE-TRANSITION-REVIEW"
"CUT-TAX-PROPERTY","research-data/tax-rule-cards/property-tax.md","MARKDOWN","1","4935","sha256:88d82604711a73545af6bc02ee2863e214bd6d826d9bc991ada372f1581451a1","2026-07-10T23:59:59+09:00","PARTIAL","TAX","PENDING","GAP-TAX-STATUTE-TRANSITION-REVIEW"
"CUT-TAX-COMPREHENSIVE","research-data/tax-rule-cards/comprehensive-holding-tax.md","MARKDOWN","1","4488","sha256:f5890ee56d35759122e612aaf69c969b90fb412df5dc20ac2769671e833c26bf","2026-07-10T23:59:59+09:00","PARTIAL","TAX","PENDING","GAP-TAX-STATUTE-TRANSITION-REVIEW"
"CUT-TAX-CAPITAL-GAINS","research-data/tax-rule-cards/capital-gains-tax.md","MARKDOWN","1","6669","sha256:fd115ad19ef5246c40f4158a9b30cf471a92dd1566276fa6679a2c31dea0cc22","2026-07-10T23:59:59+09:00","PARTIAL","TAX","PENDING","GAP-TAX-STATUTE-TRANSITION-REVIEW"
"CUT-GAZETTE-CAPTURES","research-data/captures/manifest.csv","CSV","4","2329","sha256:15ba1f67db608c318c8311de655d1986298bfd3720d6a4a8dee516858a649c95","2026-07-10T23:59:59+09:00","PARTIAL","POLICY;SPATIAL;RIGHTS","PENDING","GAP-CAPTURE-TIMESTAMP-HEADERS"
"CUT-SOURCE-REGISTER","source-register.md","MARKDOWN","21","47736","sha256:e84d567ea4fc35af0edf785421e1c3baeb2e9059de6935f0e48784300bf2e237","2026-07-10T23:59:59+09:00","PARTIAL","RIGHTS","PENDING","GAP-ROBOTS-TERMS-EVIDENCE"
"CUT-PDF-OCR-ACCEPTANCE","research-data/pdf-ocr-acceptance.md","MARKDOWN","4","16363","sha256:9883ed929d4204a4ffda01df4fc7c391fe867669bccb961591c79a5a00ab8944","2026-07-10T23:59:59+09:00","PARTIAL","POLICY;SPATIAL;RIGHTS","PENDING","GAP-PDF-OCR-HUMAN-AND-REAL-TABLE-REVIEW"
