instrument_id,designation_type,instrument_kind,authority_name,document_number,published_at,valid_from,valid_to,scope_name,scope_codes,subject_types,property_types,land_use_types,area_thresholds,same_complex_condition,use_obligations,permit_authority,official_url,boundary_attachment_status,verification_status,supersedes_instrument_id,known_gap,source_checked_at
"DSG-ADJ-2016-1103","ADJUSTMENT_AREA","PREDECESSOR_STATUS","국토교통부","후속 국토교통부령 제372호 관련","2016-11-03","2016-11-03","2017-11-10","서울특별시 25개 구; 과천시·성남시·하남시·고양시·남양주시·화성시 동탄2; 부산 해운대구·동래구·수영구·연제구·남구; 세종특별자치시 행정중심복합도시 건설 예정지역","","","주택","","","","주택공급 규칙상 청약 조정대상지역 의무; 주택법 제63조의2 법정 지정과 구분","","https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4818","AVAILABLE_UNCAPTURED","PARTIAL","","2016-11-03 정책 발표와 2016-11-15 주택공급에 관한 규칙 제372호의 지역별 효력 연결·제외지역·행정구역 코드·원문 해시 미확보","2026-07-17"
"DSG-ADJ-2017-0619","ADJUSTMENT_AREA","PREDECESSOR_STATUS","국토교통부","후속 규칙·고시 번호 재검수","2017-06-19","2017-06-19","2017-11-10","경기도 광명시; 부산광역시 부산진구·기장군","","","주택","","","","주택공급 규칙상 청약 조정대상지역 의무; 주택법 제63조의2 법정 지정과 구분","","https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4818","AVAILABLE_UNCAPTURED","PARTIAL","","2017-06-19 정책 발표와 당시 주택공급 규칙상 지역별 효력 원문 selector·기장군 범위·행정구역 코드·해시 미확보","2026-07-17"
"DSG-ADJ-2017-1305","ADJUSTMENT_AREA","TRANSITIONAL_DESIGNATION","국토교통부","국토교통부공고 제2017-1305호","2017-09-06","2017-11-10","","서울특별시 25개 구; 경기도 과천시·성남시·하남시·고양시·남양주시·화성시 동탄2·광명시; 부산광역시 해운대구·동래구·수영구·연제구·남구·부산진구·기장군; 세종특별자치시 행정중심복합도시 건설 예정지역","","","주택","","","","법률 제14866호 부칙 제2조에 따라 시행일에 주택법 제63조의2 조정대상지역으로 간주","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15151","AVAILABLE_UNCAPTURED","VERIFIED","DSG-ADJ-2017-0619","공고 HWP 임시 해시는 확인했으나 불변 보존하지 않았고 40개 지역 행정구역 코드·scope별 후속 해제 연결 미완료","2026-07-17"
"DSG-OH-2017-1173","SPECULATION_OVERHEATED","DESIGNATION","국토교통부","국토교통부공고 제2017-1173호","2017-08-03","2017-08-03","","서울특별시 전역 25개 구; 경기도 과천시; 세종특별자치시 행정중심복합도시 건설 예정지역","","","주택","","","","분양권 전매 제한; 재건축 조합원 자격 제한 등 관련 법령상 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?gubun=5&idx=15117","AVAILABLE_UNCAPTURED","VERIFIED","","행정구역 코드와 공고 첨부 SHA-256 미확보","2026-07-17"
"DSG-OH-2017-1304","SPECULATION_OVERHEATED","DESIGNATION","국토교통부","국토교통부공고 제2017-1304호","2017-09-06","2017-09-06","","경기도 성남시 분당구; 대구광역시 수성구","","","주택","","","","분양권 전매 제한; 재개발·재건축 조합원 자격 제한 등 관련 법령상 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15155","AVAILABLE_UNCAPTURED","VERIFIED","DSG-OH-2017-1173","공고 첨부 원문 바이트 SHA-256과 행정구역 코드 미확보; 두 지역의 해제일이 달라 scope 분해 필요","2026-07-17"
"DSG-OH-2018-0828","SPECULATION_OVERHEATED","DESIGNATION","국토교통부","국토교통부공고 제2018-1086호","2018-08-28","2018-08-28","2023-01-05","경기도 광명시; 하남시","","","주택","","","","분양권 전매 제한; 재개발·재건축 조합원 자격 제한 등 관련 법령상 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15658","AVAILABLE_UNCAPTURED","PARTIAL","DSG-OH-2017-1304","공식 HWP에서 공고번호·scope·효력일을 확인했으나 첨부를 불변 보존하지 않았고 행정구역 코드 미확보","2026-07-17"
"DSG-ADJ-2018-0828-DESIGNATION","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2018-1088호","2018-08-28","2018-08-28","","경기도 구리시; 안양시 동안구; 광교택지개발지구","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15659","AVAILABLE_UNCAPTURED","PARTIAL","DSG-ADJ-2017-1305","공식 HWP에서 구리·안양 동안·광교의 세부 동 범위와 공고번호를 확인했으나 첨부를 불변 보존하지 않았고 행정구역 코드 미확보","2026-07-17"
"DSG-ADJ-2018-0828-RELEASE","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2018-1089호","2018-08-28","2018-08-28","","부산광역시 기장군 중 일광면을 제외한 지역","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15660","AVAILABLE_UNCAPTURED","PARTIAL","DSG-ADJ-2017-1305","공식 HWP에서 공고번호·해제 scope·효력일을 확인했으나 첨부를 불변 보존하지 않았고 행정구역 코드 미확보","2026-07-17"
"DSG-ADJ-2018-1766","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2018-1766호","2018-12-31","2018-12-31","","수원시 팔달구; 용인시 수지구·기흥구","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15909","AVAILABLE_UNCAPTURED","PARTIAL","","세부 포함·제외 범위, 행정구역 코드와 첨부 해시 재검수 필요","2026-07-17"
"DSG-ADJ-2018-1767","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2018-1767호","2018-12-31","2018-12-31","","부산광역시 부산진구; 남구; 연제구; 기장군 일광면","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=15910","AVAILABLE_UNCAPTURED","VERIFIED","","해제 scope의 행정구역 코드와 첨부 해시 미확보","2026-07-17"
"DSG-ADJ-2019-1108","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2019-1540호","2019-11-08","2019-11-08","","부산광역시 해운대구·동래구·수영구 전부; 고양시 중 삼송·원흥·지축·향동·덕은·킨텍스1단계·고양관광문화단지를 제외한 지역; 남양주시 중 별내동·다산동을 제외한 지역","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=16220","AVAILABLE_UNCAPTURED","PARTIAL","DSG-ADJ-2017-1305","공식 HWP에서 번호·scope·효력일을 확인했으나 첨부를 불변 보존하지 않았고 고양 7개 유지 지구 경계·행정구역 코드 미확보","2026-07-17"
"DSG-ADJ-2020-0197","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2020-197호","2020-02-21","2020-02-21","","수원시 장안구·권선구·영통구; 안양시 만안구; 의왕시","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17015","AVAILABLE_UNCAPTURED","VERIFIED","","행정구역 코드와 첨부 해시 미확보","2026-07-17"
"DSG-OH-2020-0827","SPECULATION_OVERHEATED","DESIGNATION","국토교통부","국토교통부공고 제2020-827호","2020-06-19","2020-06-19","","수도권 신규 지정 지역","","","주택","","","","분양권 전매 제한 등 관련 법령상 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17017","AVAILABLE_UNCAPTURED","PARTIAL","","공고 첨부의 전국 세부 scope·제외지역·행정구역 코드와 해시 미확보","2026-07-17"
"DSG-ADJ-2020-0828","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2020-828호","2020-06-19","2020-06-19","","수도권·대전·청주 신규 지정 지역","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17018","AVAILABLE_UNCAPTURED","PARTIAL","","제2020-877호 정정 전후의 세부 읍면동 제외 범위·행정구역 코드와 첨부 불변 해시 미확보","2026-07-17"
"DSG-ADJ-2020-0877-CORRECTION","ADJUSTMENT_AREA","CORRECTION","국토교통부","국토교통부공고 제2020-877호","2020-06-29","2020-06-19","","화성시 누락 보완; 용인시 처인구 포곡읍·모현면·백암면·양지면 및 원삼면 일부 제외; 광주시 초월읍·곤지암읍·도척면·퇴촌면·남종면·남한산성면 제외","","","주택","","","","제2020-828호 관보 본문과 현황표 정정","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17020","AVAILABLE_UNCAPTURED","PARTIAL","DSG-ADJ-2020-0828","공식 HWP에서 정정 내용을 확인했으나 첨부를 불변 보존하지 않았고 원삼면 일부 리 단위·행정구역 코드 미정규화","2026-07-17"
"DSG-ADJ-2020-1521","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2020-1521호","2020-11-20","2020-11-20","","김포시 일부; 부산광역시 5개 구; 대구광역시 수성구","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17021","AVAILABLE_UNCAPTURED","PARTIAL","","김포 제외 읍면 등 세부 scope·행정구역 코드와 해시 미확보","2026-07-17"
"DSG-OH-2020-1649","SPECULATION_OVERHEATED","DESIGNATION","국토교통부","국토교통부공고 제2020-1649호","2020-12-18","2020-12-18","","경상남도 창원시 의창구 중 대산면을 제외한 지역","","","주택","","","","분양권 전매 제한; 재개발·재건축 조합원 자격 제한 등 관련 법령상 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17023","AVAILABLE_UNCAPTURED","PARTIAL","DSG-OH-2020-0827","국토교통부 개별 공고번호와 2024 주택업무편람 scope를 확인했으나 첨부 원문·행정구역 코드·SHA-256 미확보","2026-07-17"
"DSG-ADJ-2020-1650-DESIGNATION","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2020-1650호","2020-12-18","2020-12-18","","파주시; 부산 9개 구; 대구 7개 구·군; 광주 5개 구; 울산 중구·남구; 천안시 동남구·서북구·논산시·공주시; 전주시 완산구·덕진구; 여수시·순천시·광양시; 포항시 남구·경산시; 창원시 성산구","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17024","AVAILABLE_UNCAPTURED","PARTIAL","","의창구가 아닌 성산구임을 공식 편람으로 정정함; 추가 지정은 기존 지정 전체를 대체하지 않음; 각 구·군과 읍면동 제외 범위·행정구역 코드·첨부 해시 검수 필요","2026-07-17"
"DSG-ADJ-2020-1650-RELEASE","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2020-1650호","2020-12-18","2020-12-18","","양주시·안성시 일부 읍면; 인천광역시 중구 일부 동","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17024","AVAILABLE_UNCAPTURED","PARTIAL","DSG-ADJ-2020-1521","해제 대상 읍면동의 정확한 포함·제외 범위, 행정구역 코드와 첨부 원문 SHA-256 미확보","2026-07-17"
"DSG-OH-2021-1308","SPECULATION_OVERHEATED","RELEASE","국토교통부","국토교통부공고 제2021-1308호","2021-08-30","2021-08-30","","창원시 의창구 동읍·북면 중 감계지구·무동지구를 제외한 지역","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17013","AVAILABLE_UNCAPTURED","PARTIAL","DSG-OH-2020-1649","국토교통부 공고번호와 2024 주택업무편람에서 일부 해제를 확인했으나 감계·무동 유지 경계·행정구역 코드·첨부 해시 미확보","2026-07-17"
"DSG-ADJ-2021-1309","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2021-1309호","2021-08-30","2021-08-30","2022-09-26","동두천시 중 광암동·걸산동·안흥동·상봉암동·하봉암동·탑동동을 제외한 지역","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17012","AVAILABLE_UNCAPTURED","PARTIAL","","추가 지정은 기존 지정 전체를 대체하지 않음; 국토교통부 공고번호와 2024 주택업무편람에서 scope·효력 구간을 확인했으나 행정구역 코드·첨부 원문 SHA-256 미확보","2026-07-17"
"DSG-OH-2022-0882","SPECULATION_OVERHEATED","RELEASE","국토교통부","국토교통부공고 제2022-882호","2022-07-05","2022-07-05","","대구광역시 수성구; 대전광역시 동구·중구·서구·유성구; 경남 창원시 의창구","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17523","AVAILABLE_UNCAPTURED","PARTIAL","","공고 첨부 범위와 행정구역 코드·해시 재검수 필요","2026-07-17"
"DSG-ADJ-2022-0883","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2022-883호","2022-07-05","2022-07-05","","대구·대전·경남 등 일부 조정대상지역","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17524","AVAILABLE_UNCAPTURED","PARTIAL","","공고 첨부의 정확한 해제 scope·행정구역 코드와 해시 미확보","2026-07-17"
